property_category,property_type,district,price,area,price_per_sqm
жилая,таунхаус,ЦАО,48868629,125.8,388374
жилая,таунхаус,ЦАО,52207892,123.7,422082
коммерческая,офис,ЦАО,54167884,296.7,80000
коммерческая,офис,ЦАО,26506929,169.4,80000
коммерческая,офис,ЦАО,28328103,247.9,80000
коммерческая,офис,ЦАО,35601817,345.2,80000
коммерческая,офис,ЦАО,35291209,222.2,80000
коммерческая,офис,ЦАО,37045261,235.7,80000
коммерческая,офис,ЦАО,30294030,248.7,80000
коммерческая,офис,ЦАО,56645721,328.3,80000
коммерческая,офис,ЦАО,47224096,398.5,80000
коммерческая,офис,ЦАО,32562741,319.5,80000
коммерческая,офис,ЦАО,26647490,149.8,80000
коммерческая,офис,ЦАО,29053383,235.8,80000
коммерческая,офис,ЦАО,46321942,373.7,80000
коммерческая,офис,ЦАО,26576159,179.0,80000
коммерческая,офис,ЦАО,26222238,143.5,80000
коммерческая,офис,ЦАО,41168584,234.1,80000
коммерческая,офис,ЦАО,59108557,347.9,80000
коммерческая,офис,ЦАО,30721806,247.7,80000
коммерческая,офис,ЦАО,53742669,436.6,80000
коммерческая,офис,ЦАО,53491076,287.8,80000
коммерческая,офис,ЦАО,22175828,178.4,80000
коммерческая,офис,ЦАО,36059939,289.7,80000
коммерческая,офис,ЦАО,73380228,425.4,79999
коммерческая,офис,ЦАО,44920166,294.2,80000
коммерческая,офис,ЦАО,35910361,199.7,80000
коммерческая,офис,ЦАО,19942376,136.9,80000
коммерческая,торговое помещение,ЦАО,34253758,149.3,120000
коммерческая,торговое помещение,ЦАО,25931070,137.5,120000
коммерческая,торговое помещение,ЦАО,42752180,225.4,120000
коммерческая,торговое помещение,ЦАО,29005557,122.3,120000
коммерческая,торговое помещение,ЦАО,30312335,169.3,120000
коммерческая,торговое помещение,ЦАО,29979295,139.1,120000
коммерческая,торговое помещение,ЦАО,22341257,89.0,120000
коммерческая,торговое помещение,ЦАО,39290264,163.4,120000
коммерческая,торговое помещение,ЦАО,24421030,94.9,119999
коммерческая,торговое помещение,ЦАО,36074180,193.5,120000
коммерческая,торговое помещение,ЦАО,13970285,85.7,120000
коммерческая,торговое помещение,ЦАО,28320072,161.7,120000
коммерческая,торговое помещение,ЦАО,52395287,212.9,120000
коммерческая,торговое помещение,ЦАО,45820530,190.2,120000
коммерческая,торговое помещение,ЦАО,31031452,144.6,120000
коммерческая,торговое помещение,ЦАО,32184983,184.3,120000
коммерческая,торговое помещение,ЦАО,31404908,201.8,120000
коммерческая,торговое помещение,ЦАО,31531718,116.4,120000
коммерческая,торговое помещение,ЦАО,56251165,215.8,120000
коммерческая,торговое помещение,ЦАО,32325962,207.2,119999
коммерческая,склад,ЦАО,33644954,605.0,40000
коммерческая,склад,ЦАО,72914791,1120.3,40000
коммерческая,склад,ЦАО,61929719,967.3,40000
коммерческая,склад,ЦАО,96781977,1508.2,40000
коммерческая,склад,ЦАО,102016011,1324.8,40000
коммерческая,склад,ЦАО,97886420,1076.1,40000
коммерческая,склад,ЦАО,97398895,1437.3,40000
коммерческая,склад,ЦАО,156716615,1778.0,40000
коммерческая,склад,ЦАО,42565102,517.4,40000
коммерческая,склад,ЦАО,60261056,916.9,40000
коммерческая,склад,ЦАО,44243539,731.4,40000
коммерческая,склад,ЦАО,69617127,1039.0,40000
коммерческая,склад,ЦАО,65011148,711.0,40000
коммерческая,производственное помещение,ЦАО,121229274,1063.3,50000
коммерческая,производственное помещение,ЦАО,97258458,1350.4,50000
коммерческая,производственное помещение,ЦАО,84900753,886.1,50000
коммерческая,производственное помещение,ЦАО,36980116,509.8,50000
коммерческая,производственное помещение,ЦАО,75143308,715.0,50000
коммерческая,производственное помещение,ЦАО,85638287,742.5,50000
коммерческая,производственное помещение,ЦАО,116455022,1157.8,50000
коммерческая,производственное помещение,ЦАО,69444542,924.5,50000
коммерческая,производственное помещение,ЦАО,84943599,894.0,50000
коммерческая,производственное помещение,ЦАО,73733135,668.0,50000
коммерческая,готовый бизнес,ЦАО,9377962,0.0,0
коммерческая,готовый бизнес,ЦАО,5611834,0.0,0
коммерческая,готовый бизнес,ЦАО,7222382,0.0,0
коммерческая,готовый бизнес,ЦАО,8576152,0.0,0
коммерческая,готовый бизнес,ЦАО,13123550,0.0,0
коммерческая,готовый бизнес,ЦАО,14308867,0.0,0
коммерческая,готовый бизнес,ЦАО,9081825,0.0,0
коммерческая,готовый бизнес,ЦАО,12575364,0.0,0
коммерческая,готовый бизнес,ЦАО,14149539,0.0,0
земля,участок,ЦАО,10906080,912.1,11956
земля,участок,ЦАО,6856389,761.0,9009
земля,участок,ЦАО,9355879,834.2,11214
земля,участок,ЦАО,10360740,886.0,11693
земля,участок,ЦАО,7039946,708.2,9940
земля,участок,ЦАО,8962611,844.6,10611
земля,участок,ЦАО,6975565,810.8,8602
земля,участок,ЦАО,10847601,950.6,11411
земля,участок,ЦАО,10148021,1304.8,7777
земля,участок,ЦАО,10641684,858.2,12400
земля,участок,ЦАО,10566511,1168.1,9046
земля,участок,ЦАО,7302625,941.8,7753
земля,участок,ЦАО,10342698,843.5,12261
прочая,гараж,ЦАО,1867638,26.1,71488
прочая,гараж,ЦАО,1644421,15.2,107883
прочая,гараж,ЦАО,1728346,18.0,96015
прочая,гараж,ЦАО,1874941,28.0,66927
прочая,гараж,ЦАО,1644246,27.2,60436
прочая,гараж,ЦАО,1829581,25.2,72630
прочая,гараж,ЦАО,1744517,18.1,96556
прочая,гараж,ЦАО,1843529,21.1,87336
прочая,гараж,ЦАО,1636467,19.1,85625
прочая,гараж,ЦАО,1933753,28.8,67234
прочая,машиноместо,ЦАО,985228,,0
прочая,машиноместо,ЦАО,984398,,0
прочая,машиноместо,ЦАО,944937,,0
прочая,машиноместо,ЦАО,833415,,0
прочая,машиноместо,ЦАО,946487,,0
прочая,машиноместо,ЦАО,814425,,0
прочая,машиноместо,ЦАО,813982,,0
прочая,машиноместо,ЦАО,868249,,0
прочая,машиноместо,ЦАО,897955,,0
жилая,квартира,ЗАО,22965114,86.0,267092
жилая,квартира,ЗАО,12588294,53.3,236267
жилая,квартира,ЗАО,20547596,84.7,242508
жилая,квартира,ЗАО,17538857,78.7,222978
жилая,квартира,ЗАО,25693798,71.7,358532
жилая,квартира,ЗАО,26888521,102.7,261817
жилая,квартира,ЗАО,24028747,88.5,271608
жилая,квартира,ЗАО,13528536,56.2,240606
жилая,квартира,ЗАО,15160842,82.6,183584
жилая,квартира,ЗАО,24249401,80.1,302584
жилая,квартира,ЗАО,20777177,81.9,253692
жилая,квартира,ЗАО,21057252,77.9,270145
жилая,квартира,ЗАО,15411590,59.5,258847
жилая,квартира,ЗАО,11987899,64.9,184844
жилая,квартира,ЗАО,20091608,63.9,314484
жилая,квартира,ЗАО,22103173,87.6,252291
жилая,квартира,ЗАО,17883363,70.8,252424
жилая,квартира,ЗАО,14898362,68.2,218401
жилая,квартира,ЗАО,28219478,90.4,312325
жилая,квартира,ЗАО,16520137,60.5,273081
жилая,квартира,ЗАО,28985385,111.0,261058
жилая,квартира,ЗАО,18211680,71.7,254049
жилая,квартира,ЗАО,17709542,61.9,286306
жилая,квартира,ЗАО,16815714,60.0,280375
жилая,квартира,ЗАО,19092664,89.8,212534
жилая,квартира,ЗАО,18838219,96.0,196251
жилая,квартира,ЗАО,35730610,102.2,349684
жилая,квартира,ЗАО,19983899,88.4,225990
жилая,квартира,ЗАО,18155545,76.7,236653
жилая,квартира,ЗАО,25900813,106.1,244050
жилая,квартира,ЗАО,13824062,69.5,199030
жилая,квартира,ЗАО,18095381,65.2,277414
жилая,квартира,ЗАО,20226179,59.5,339785
жилая,квартира,ЗАО,18423430,74.6,246848
жилая,квартира,ЗАО,19959768,61.0,327199
жилая,квартира,ЗАО,20245539,75.6,267904
жилая,квартира,ЗАО,16686640,67.5,247333
жилая,квартира,ЗАО,17139951,71.1,240934
жилая,квартира,ЗАО,23571079,89.0,264863
жилая,квартира,ЗАО,14207872,56.6,250962
жилая,квартира,ЗАО,17118920,51.6,331936
жилая,квартира,ЗАО,25549406,91.2,280207
жилая,квартира,ЗАО,10997994,50.5,217757
жилая,квартира,ЗАО,22303407,97.1,229581
жилая,квартира,ЗАО,19799015,81.0,244358
жилая,квартира,ЗАО,16659469,66.7,249597
жилая,квартира,ЗАО,21733621,79.9,272156
жилая,квартира,ЗАО,22204391,83.2,267027
жилая,квартира,ЗАО,9035455,41.5,217807
жилая,квартира,ЗАО,19953925,69.6,286845
жилая,квартира,ЗАО,24670091,87.1,283208
жилая,квартира,ЗАО,19503708,68.0,286884
жилая,квартира,ЗАО,13047215,51.7,252551
жилая,квартира,ЗАО,14949331,76.2,196308
жилая,квартира,ЗАО,17462048,71.1,245559
жилая,квартира,ЗАО,20412669,97.5,209336
жилая,квартира,ЗАО,18231396,87.7,207868
жилая,квартира,ЗАО,20161690,80.7,249745
жилая,квартира,ЗАО,16247379,70.5,230621
жилая,квартира,ЗАО,22791117,73.9,308296
жилая,квартира,ЗАО,17999457,73.0,246445
жилая,квартира,ЗАО,18943073,76.2,248663
жилая,квартира,ЗАО,18571410,77.1,240905
жилая,квартира,ЗАО,27273687,90.0,303141
жилая,квартира,ЗАО,15312981,61.9,247250
жилая,квартира,ЗАО,24571913,91.6,268185
жилая,квартира,ЗАО,16247217,79.1,205275
жилая,квартира,ЗАО,23659089,72.1,327961
жилая,квартира,ЗАО,18849138,74.5,252884
жилая,квартира,ЗАО,17297680,78.0,221718
жилая,квартира,ЗАО,22786799,78.0,292275
жилая,квартира,ЗАО,22110306,84.6,261409
жилая,квартира,ЗАО,14160330,63.4,223258
жилая,квартира,ЗАО,25887935,74.0,349657
жилая,квартира,ЗАО,26719805,80.1,333543
жилая,квартира,ЗАО,20219418,71.3,283432
жилая,квартира,ЗАО,21046180,90.7,232031
жилая,квартира,ЗАО,24209004,70.5,343212
жилая,квартира,ЗАО,12940813,76.8,168483
жилая,квартира,ЗАО,13553944,58.6,231470
жилая,квартира,ЗАО,14600086,61.7,236543
жилая,квартира,ЗАО,17746031,65.4,271281
жилая,квартира,ЗАО,22594315,77.5,291368
жилая,квартира,ЗАО,16807974,64.7,259872
жилая,квартира,ЗАО,18174130,75.9,239488
жилая,квартира,ЗАО,11737561,54.2,216734
жилая,квартира,ЗАО,29360762,109.9,267087
жилая,квартира,ЗАО,20834640,83.9,248263
жилая,квартира,ЗАО,25387175,71.2,356512
жилая,квартира,ЗАО,15294339,63.7,240135
жилая,квартира,ЗАО,15606514,61.9,251956
жилая,квартира,ЗАО,21873445,77.7,281517
жилая,квартира,ЗАО,18654361,97.7,190900
жилая,квартира,ЗАО,11041121,60.3,183216
жилая,квартира,ЗАО,18595990,60.5,307564
жилая,квартира,ЗАО,16363068,66.0,248002
жилая,квартира,ЗАО,26723735,96.0,278484
жилая,квартира,ЗАО,27636306,76.9,359480
жилая,квартира,ЗАО,22553782,93.1,242273
жилая,квартира,ЗАО,18381665,64.5,285119
жилая,квартира,ЗАО,29211206,92.2,316682
жилая,квартира,ЗАО,13159482,56.3,233564
жилая,квартира,ЗАО,23038002,87.0,264672
жилая,квартира,ЗАО,14303711,64.9,220404
жилая,квартира,ЗАО,25649289,108.3,236747
жилая,квартира,ЗАО,20456355,84.5,242067
жилая,квартира,ЗАО,19973687,93.4,213922
жилая,квартира,ЗАО,14522737,66.6,217935
жилая,квартира,ЗАО,18597622,79.7,233299
жилая,квартира,ЗАО,18616245,62.9,295754
жилая,квартира,ЗАО,29282352,89.6,326645
жилая,квартира,ЗАО,15957600,83.5,191029
жилая,квартира,ЗАО,13305660,58.5,227492
жилая,квартира,ЗАО,19016392,75.5,251835
жилая,квартира,ЗАО,14011998,65.7,213360
жилая,квартира,ЗАО,17013647,80.0,212768
жилая,квартира,ЗАО,16735750,57.4,291507
жилая,квартира,ЗАО,30052803,100.1,300262
жилая,квартира,ЗАО,21841271,76.4,285706
жилая,квартира,ЗАО,17663939,83.1,212610
жилая,квартира,ЗАО,12612430,61.3,205831
жилая,квартира,ЗАО,16467068,64.0,257430
жилая,квартира,ЗАО,12112235,67.0,180802
жилая,квартира,ЗАО,22695626,93.2,243524
жилая,квартира,ЗАО,21398117,63.8,335591
жилая,квартира,ЗАО,26092583,77.0,338851
жилая,квартира,ЗАО,16943476,58.9,287464
жилая,квартира,ЗАО,13855159,47.5,291952
жилая,квартира,ЗАО,22681960,107.3,211317
жилая,квартира,ЗАО,24476019,74.9,326743
жилая,квартира,ЗАО,22154212,69.2,320020
жилая,квартира,ЗАО,15243380,76.2,199972
жилая,квартира,ЗАО,23446749,83.5,280709
жилая,квартира,ЗАО,15196160,72.4,209962
жилая,квартира,ЗАО,19317925,59.5,324936
жилая,квартира,ЗАО,16352686,91.3,179132
жилая,квартира,ЗАО,26005098,112.0,232244
жилая,квартира,ЗАО,15142865,75.2,201487
жилая,квартира,ЗАО,17488217,69.4,251903
жилая,квартира,ЗАО,21730833,75.8,286498
жилая,апартаменты,ЗАО,13178628,36.0,366297
жилая,апартаменты,ЗАО,13435632,43.9,306124
жилая,апартаменты,ЗАО,22253852,57.5,387353
жилая,апартаменты,ЗАО,13631656,50.5,269701
жилая,апартаменты,ЗАО,13157985,47.3,277986
жилая,апартаменты,ЗАО,16537356,46.9,352780
жилая,апартаменты,ЗАО,18287248,52.6,347377
жилая,апартаменты,ЗАО,19046909,56.5,337082
жилая,апартаменты,ЗАО,20240003,57.1,354596
жилая,апартаменты,ЗАО,13832582,40.0,346071
жилая,апартаменты,ЗАО,17517044,63.6,275548
жилая,апартаменты,ЗАО,13934428,47.2,295125
жилая,апартаменты,ЗАО,13013939,60.4,215420
жилая,апартаменты,ЗАО,11452899,38.9,294091
жилая,апартаменты,ЗАО,12814867,43.4,295359
жилая,апартаменты,ЗАО,13422760,63.5,211486
жилая,апартаменты,ЗАО,14122262,41.6,339774
жилая,апартаменты,ЗАО,14022558,50.9,275412
жилая,апартаменты,ЗАО,12487083,44.5,280729
жилая,апартаменты,ЗАО,14448302,46.4,311608
жилая,апартаменты,ЗАО,12461646,37.8,329313
жилая,апартаменты,ЗАО,25186630,72.3,348481
жилая,апартаменты,ЗАО,18851125,55.0,342529
жилая,апартаменты,ЗАО,11442278,52.8,216737
жилая,апартаменты,ЗАО,18724292,53.3,351217
жилая,апартаменты,ЗАО,14879788,49.2,302734
жилая,апартаменты,ЗАО,12017934,45.1,266214
жилая,апартаменты,ЗАО,24702082,63.5,388985
жилая,апартаменты,ЗАО,10229463,48.4,211518
жилая,апартаменты,ЗАО,16638417,63.4,262564
жилая,апартаменты,ЗАО,18123906,58.1,312129
жилая,апартаменты,ЗАО,15017811,49.5,303132
жилая,апартаменты,ЗАО,17124217,58.4,293312
жилая,апартаменты,ЗАО,13998080,46.6,300381
жилая,апартаменты,ЗАО,23710620,65.8,360107
жилая,комната,ЗАО,2290828,18.8,121556
